Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-11-09,711.3,747.26,710.05,720.97,12022.2332097,8784146.33755,730.658454577
2016-11-10,721.0,723.61,705.84,712.91,4441.34529256,3171084.72828,713.991936992
2016-11-11,713.0,718.99,712.5,716.9,3363.91577496,2405638.68355,715.130474269
2016-11-12,716.56,716.99,702.42,704.53,3130.22057213,2218354.31467,708.689456078
2016-11-13,704.63,705.94,685.7,704.01,4207.77586806,2931396.35024,696.661714444
2016-11-14,704.01,708.57,695.07,708.32,4818.75334881,3385363.45601,702.539269175
2016-11-15,708.4,716.3,671.23,712.29,4793.81248351,3394331.99721,708.065242202
2016-11-16,711.92,743.8,710.0,739.85,6194.50292689,4515043.75541,728.879105991
2016-11-17,738.07,750.01,729.01,730.71,4171.50353425,3096662.22329,742.337192781
2016-11-18,729.61,751.0,728.89,748.54,4633.63714554,3443067.48419,743.059366983
2016-11-19,748.55,752.3,738.0,750.77,2953.71110824,2210603.99525,748.415777387
2016-11-20,750.77,753.81,715.0,731.99,4322.12503603,3173834.81071,734.322765827
2016-11-21,731.72,738.47,730.0,736.4,2984.94365792,2194636.22066,735.235392079
2016-11-22,736.39,748.77,726.38,746.66,4276.8415765,3168084.556,740.753310435
2016-11-23,746.66,747.12,734.0,741.52,3626.95652139,2688924.74551,741.372202742
2016-11-24,741.51,743.99,727.0,737.99,3472.6009038,2559311.38042,737.001299981
2016-11-25,737.99,739.99,729.0,739.74,3157.80610663,2321014.86291,735.008668846
2016-11-26,739.51,739.98,726.0,735.7,2706.77529551,1988138.11311,734.504307177
2016-11-27,735.69,737.95,728.01,729.24,2682.66166264,1966221.42768,732.936790003
2016-11-28,729.24,736.44,729.0,729.77,3864.89359081,2826779.4876,731.399046617
2016-11-29,730.18,734.36,728.2,732.37,3807.46258906,2786300.53001,731.799844341
2016-11-30,732.44,745.0,729.17,742.69,3949.90287585,2917405.76022,738.601897797
2016-12-01,742.51,754.9,741.59,754.0,4190.18991165,3138343.79276,748.974117864
2016-12-02,754.0,780.0,753.53,769.25,6041.03445262,4639870.22677,768.058891762
2016-12-03,769.78,771.92,759.0,766.98,3180.08205342,2437143.78976,766.377643349
2016-12-04,766.86,769.76,762.83,767.99,2759.91257043,2114407.07184,766.113787259
2016-12-05,767.94,767.99,748.6,752.0,4823.73102661,3642896.84292,755.203145204
2016-12-06,752.01,757.15,752.0,755.68,1093.12270851,825860.76097,755.505996299
2017-04-09,1184.5,1221.0,1175.8,1210.97,5819.87128162,6983404.75754,1199.92426286
2017-04-10,1210.99,1219.78,1201.0,1210.0,5644.96147616,6839598.61506,1211.62892678
2017-04-11,1210.0,1234.0,1200.0,1223.99,5481.08329834,6673599.91536,1217.56951174
2017-04-12,1224.0,1227.86,1209.61,1214.17,6494.15156162,7912585.00231,1218.41705221
2017-04-13,1214.68,1219.49,1148.98,1177.05,9426.5374569,11146436.8322,1182.45292963
2017-04-14,1177.05,1196.92,1170.14,1173.74,5666.3149436,6700794.94846,1182.56662666
2017-04-15,1173.13,1190.99,0.06,1178.85,3972.00314582,4658827.56257,1172.91638288
2017-04-16,1178.84,1189.93,1171.7,1177.99,3084.52503854,3644226.81936,1181.4547698
2017-04-17,1177.63,1197.6,1170.85,1189.91,6548.06656297,7741934.71088,1182.3237648
2017-04-18,1190.95,1206.65,1189.76,1201.94,6269.90926487,7515519.03122,1198.66471965
2017-04-19,1201.88,1215.32,1191.09,1214.21,6273.61537614,7544492.69916,1202.5749503
2017-04-20,1214.22,1240.6,1212.01,1236.15,7747.22509693,9504922.02607,1226.8808389
2017-04-21,1236.15,1258.77,1236.15,1249.99,6669.14516894,8318503.92204,1247.31186851
2017-04-22,1249.98,1253.0,1221.51,1247.0,6147.34768133,7653459.98525,1245.00197191
2017-04-23,1246.79,1254.0,1236.2,1251.98,5023.52597801,6266690.27766,1247.46847236
2017-04-24,1251.91,1261.16,1246.31,1257.29,5906.25903817,7400841.22,1253.05056419
2017-04-25,1256.65,1287.0,1256.16,1281.16,8117.86793375,10360536.0474,1276.26319275
2017-04-26,1281.18,1320.0,1279.5,1298.44,9597.58080942,12472783.7117,1299.57579512
2017-04-27,1297.56,1360.0,1295.39,1349.26,10484.9236159,13944011.8194,1329.91067271
2017-04-28,1349.77,1381.01,1300.2,1353.34,14008.4774168,18766437.2706,1339.64860793
